Author_id,Name
1,Mark P. O. Morford
2,Robert J. Lenardon
3,Richard Bruce Wright
4,Carlo D'Este
5,Gina Kolata
6,Elizabeth Wayland Barber
7,E. J. W. Barber
8,Amy Tan
9,Robert Cowley
10,Scott Turow
11,Stacy Keach
12,David Cordingly
13,Ann Beattie
14,David Adams Richards
15,Kensington
16,Sheila Heti
17,J. R. Kaiser
18,Jack Canfield
19,Mark Victor Hansen
20,Jennifer Read Haw
21,Loren D. Estleman
22,John Kenneth
23,Robert Hendrickson
24,Julia Oliver
25,John Grisham
26,Toni Morrison
27,The Onion
28,Scott Dikkers
29,Mike Loew
30,Celia Brooks Brown
31,Jane Noraika
32,Philip Webb
33,J. R. Parrish
34,Mary-kate
35,Amp
36,Ashley Olsen
37,Robynn Clairday
38,Kathleen Duey
39,Karen A. Bale
40,Bill Dodge
41,Rich Shapero
42,Michael Crichton
43,C.S. Lewis
44,Arthur Phillips
45,Stephen Jaramillo
46,Mordecai Richler
47,Michael Panofsky
48,Anette Grube
49,Eleanor Cooney
50,Daniel Altieri
51,Charlotte Link
52,Richard North Patterson
53,Kristian Lutze
54,Mark Salzman
55,Harper Lee
56,Laura Hillenbrand
57,Barbara Kingsolver
58,Jo Dereske
59,Jane Austen
60,Dolores Krieger
61,Anne Rivers Siddons
62,Dean Koontz
63,Mary Higgins Clark
64,Patricia Cornwell
65,J.D. Robb
66,Maeve Binchy
67,Laura J. Mixon
68,Tim LaHaye
69,Jerry B. Jenkins
70,Bernie S. Siegel M.D.
71,Robert Penn Warren
72,Hans Johannes Hoefer
73,Mark Helprin
74,O. Carl Simonton M.D.
75,James Creighton Ph.D.
76,Stepha
77,Chuck Hill
78,David Iglehart
79,Larry McMurtry
80,Suzanne Fisher Staples
81,Michel Tournier
82,Carl Sagan
83,Aleksandr Zinoviev
84,Anne Tyler
85,Joseph Conrad
86,Deepak Chopra
87,Martin Greenberg
88,Thomas Hardy
89,Charles Noland
90,Sherri Baker
91,Valerie Frankel
92,Benjamin Hoff
93,Niccolo Machiavelli
94,H. Jackson Brown Jr.
95,Robert A. Heinlein
96,Philip Pullman
97,Michael Ondaatje
98,Sandra Levy Ceren
99,P. J. O'Rourke
100,Mike Gayle
101,Stel Pavlou
102,Sarah Payne Stuart
103,Dan Quayle
104,Donald F. Kettl
105,Donald Kettl
106,David Frum
107,Louis L'Amour
108,J.D. Salinger
109,John Berendt
110,Jennifer Crusie
111,Jane Heller
112,Michael Rips
113,Simon Mawer
114,William Abrahams
115,Robert T. Kiyosaki
116,Sharon L. Lechter
117,Ken Follett
118,John F. Love
119,Robert G. Allen
120,Louis De Bernieres
121,Pam Proctor
122,Allen M. Schoen
123,Mitch Albom
124,Michael Jan Friedman
125,Ronald D. Moore
126,Glendon Swarthout
127,Neal Barrett Jr.
128,J. Michael Straczynski
129,David Morrell
130,Sandra Brown
131,James Patterson
132,Peter De Jonge
133,Stuart Woods
134,Iris Johansen
135,Dan Brown
136,Joe Hutsko
137,Anita Shreve
138,Ann Rule
139,Lewis Grizzard
140,Paul Theroux
141,Charles Hickey
142,Todd Lighty
143,John O'Brien
144,Stephen King
145,Ben Mezrich
146,Bill Hand
147,Tom Clancy
148,Dana Reeve
149,Roy
150,Barbara Metzger
151,Gabriel Garcia Marquez
152,Rebecca Wells
153,Tony Hillerman
154,Robert James Waller
155,Rachel Harris
156,Ian McEwan
157,Michael Lewis
158,Richard Zimler
159,Norman Jetmundsen
160,Lorenzo Carcaterra
161,Anne Frasier
162,Kay Hooper
163,Daphne Du Maurier
164,Nathaniel Hawthorne
165,Leo Marx
166,Nick Page
167,Laura Wolf
168,Lois Duncan
169,Susan Grant
170,Barbara Vine
171,Shirley Rousseau Murphy
172,Jane Lindskold
173,Betty Smith
174,Cybill Shepherd
175,Aimee Lee Ball
176,Stewart O'Nan
177,David Baldacci
178,Douglas Adams
179,Mary Lawson
180,Willa Cather
181,Olivia Goldsmith
182,Helen Fielding
183,Dover Thrift Editions
184,Franklin W. Dixon
185,Lilian Jackson Braun
186,Holly Virden
187,Michelle McKinney Hammond
188,H. Norman Wright
189,Piers Anthony
190,Ray Bradbury
191,Friedrich Schiller
192,Walter Schafarschik
193,Peter Naujack
194,Raymond Chandler
195,Hans Wollschläger
196,Thomas Schlück
197,Norbert Wölfl
198,Alexander Schmitz
199,Jürgen Bauer
200,Alastair Ker
201,Paulo Coelho
202,Maralde Meyer-Minnemann
203,Gabriel García Márquez
204,Fay Weldon
205,Arabella Weir
206,Kiana Davenport
207,Margarete Längsfeld
208,Sue Townsend
209,Renan Demirkan
210,Michael Moore
211,Helmut Dierlamm
212,Heike Schlatterer
213,Jonathan Franzen
214,Bettina Abarbanell
215,J. D. Salinger
216,Annemarie Böll
217,Heinrich Böll
218,Elisab
219,James Joyce
220,Joanna Trollope
221,Antoinette Gittinger
222,Milan Kundera
223,Arundhati Roy
224,Robert S. Levinson
225,Lorna Landvik
226,Arthur Golden
227,Kent Haruf
228,Patricia D Cornwell
229,Patricia D. Cornwell
230,Carol J. Farley
231,Tom Newsom
232,Kathleen E. Woodiwiss
233,Belva Plain
234,Mark Haddon
235,Ann Brashares
236,Erich Segal
237,Elizabeth Adler
238,Nicholas Sparks
239,John Saul
240,Steve Thayer
241,Tracy Chevalier
242,Judith Kelman
243,Michael Palmer
244,Francine Hughes
245,Norman Bridwell
246,Frank McCourt
247,Malachy Mccourt
248,Mari Sandoz
249,Anne Perry
250,Alexander Mccall Smith
251,Barbara Bergman
252,Gregory Maguire
253,Yann Martel
254,Ruth Rendell
255,Al Franken
256,Donna Tartt
257,John Milne
258,Terry Pratchett
259,E. B. White
260,Garth Williams
261,J. M. Barrie
262,Mary O'Hara
263,Paul Kidby
264,Louise Rennison
265,Kenneth Grahame
266,Bernard Cornwell
267,Charles De Lint
268,Lord Dunsany
269,Neil Gaiman
270,Georgette Heyer
271,Oscar Wilde
272,Jeffrey Eugenides
273,Ted Hughes
274,Andrew Davidson
275,Roald Dahl
276,Quentin Blake
277,Donna Jo Napoli
278,A.S. Byatt
279,Tanuja Desai Hidier
280,Sophie Kinsella
281,Isabel Wolff
282,Louisa May Alcott
283,Margaret Drabble
284,George Orwell
285,Charles Dickens
286,Isabel Allende
287,Ellen Datlow
288,Terri Windling
289,Charles Vess
290,Neil Gaim
291,Joseph Heller
292,John Galsworthy
293,Enid Blyton
294,Alan Moore
295,Kevin O'Neill
296,Ben Dimagmaliw
297,Sam Kieth
298,Mike Dringenberg
299,Malcolm Jon
300,John Bolton
301,Trudy Suggs
302,Tom Wolfe
303,Brady Udall
304,Homer Hickam
305,Pearl Abraham
306,Sebastian Junger
307,Karen Armstrong
308,Mary Barnard
309,Dudley Fitts
310,David Brin
311,T. C. Boyle
312,T. Coraghessan Boyle
313,Plato
314,Alexander Nehamas
315,Paul Woodruff
316,Lynda Madaras
317,Dane Saavedra
318,Jackie Aher
319,Stephen Mccauley
320,Isabelle Holland
321,Pam Conrad
322,Lurlene Mcdaniel
323,Brian Kaufman
324,John Darnton
325,Martin Schenk
326,David Eddings
327,Leigh Eddings
328,Paul Reiser
329,David G. Hartwell
330,Kathryn Cramer
331,Dave Barry
332,John R. Holt
333,Theodore Beale
334,Frank M. Robinson
335,Mary Jane Clark
336,Mary Shelley
337,Robert Westall
338,Robert B. Parker
339,Rita Chapman Works
340,Mark Carwardine
341,A. Manette Ansay
342,Sarah Waters
343,Anne Frank
344,Barry Lopez
345,Greg Palast
346,Andrea Kane
347,Nevada Barr
348,Margaret Maron
349,Edna Barker
350,Shelagh Rogers
351,Muriel Whitaker
352,John Irving
353,William Golding
354,Hermann Stiehl
355,HarperReference
356,Ltd
357,Ann Patchett
358,Lane Smith
359,Sue Monk
360,Sue Monk Kidd Kidd
361,Roseanne J. Serra (Co
362,Bob Thiele
363,Bob Golden
364,Steve Allen
365,Colleen Mccullough
366,Joanne Harris
367,Thomas Cahill
368,Michael Hudson
369,Jane Smiley
370,Dick Francis
371,Nora Roberts
372,Jean Marzollo
373,Walter Wick
374,Carol Devine Carson
