Isbn,Author_id
0195153445,1
0195153445,2
0195153448,1
0195153448,2
0002005018,3
0060973129,4
0374157065,5
0393045218,6
0393045218,7
0399135782,8
0425176428,9
0671870432,10
0671870432,11
0679425608,12
074322678X,13
0771074670,14
080652121X,15
0887841740,16
1552041778,17
1558746218,18
1558746218,19
1558746218,20
1567407781,21
1567407781,22
1575663937,23
1881320189,24
0440234743,25
0452264464,26
0609804618,27
0609804618,28
0609804618,29
1841721522,30
1841721522,31
1841721522,32
1879384493,33
0061076031,34
0061076031,35
0061076031,36
0439095026,37
0689821166,38
0689821166,39
0689821166,40
0971880107,41
0345402871,42
0345417623,42
0684823802,43
0375759778,44
0425163091,45
3404921038,46
3404921038,47
3404921038,48
3442353866,49
3442353866,50
3442410665,51
3442446937,52
3442446937,53
0375406328,54
0446310786,55
0449005615,56
0060168013,57
038078243X,58
055321215X,59
067176537X,60
0061099686,61
0553582909,62
0671888587,63
0553582747,62
0425182908,64
042518630X,65
0440223571,66
0812523873,67
0842342702,68
0842342702,69
0440225701,25
0060914068,70
0156047624,71
0245542957,72
0380715899,73
0553280333,74
0553280333,75
0553280333,76
0961769947,77
0964778319,78
0671623249,79
0679810307,80
0679865691,80
2070423204,81
0345260317,82
0394743741,83
042511774X,84
0804106304,8
1853262404,85
0312970242,86
0312970242,87
1853260053,88
1414035004,89
1414035004,90
0060938412,91
0140067477,92
0345465083,56
0451625889,93
1558531025,94
0441783589,95
0394895894,96
0375410538,97
0966986105,98
087113375X,99
0340767936,100
0743403843,101
0060930365,102
0060177586,103
0071416331,104
0071416331,105
0375509038,106
0553062042,107
0316769487,108
0679429220,109
0671867156,63
0312252617,110
0312261594,111
0316748641,112
0316973742,113
0385235941,114
0446677450,115
0446677450,116
0451166892,117
0553347594,118
0671621009,119
067976397X,120
0684822733,121
0684822733,122
0786868716,123
0671864769,124
0671864769,125
0671521519,126
0440222303,127
0440222303,128
0312953453,129
0446608653,130
0446612545,131
0446612545,132
0446612618,130
0451208080,133
